Data Type,Segments,Distance,Threshold,Segments Length,Accuracy,F1_Score,Precision,Recall
napierone,1,0,0.0,8,0.41552078394183656,nan,nan,0.0
napierone,1,0,0.0,16,0.41552078394183656,nan,nan,0.0
napierone,1,0,0.0,24,0.41552078394183656,nan,nan,0.0
napierone,1,0,0.0,32,0.41552078394183656,nan,nan,0.0
napierone,1,0,0.0,40,0.41552078394183656,nan,nan,0.0
napierone,1,0,0.0,48,0.41552078394183656,nan,nan,0.0
napierone,1,0,0.0,56,0.41552078394183656,nan,nan,0.0
napierone,1,0,0.0,64,0.41552078394183656,nan,nan,0.0
napierone,1,0,0.0,72,0.41552078394183656,nan,nan,0.0
napierone,1,0,0.0,80,0.41552078394183656,nan,nan,0.0
napierone,1,0,0.0,88,0.41552078394183656,nan,nan,0.0
napierone,1,0,0.0,96,0.41552078394183656,nan,nan,0.0
napierone,1,0,0.0,104,0.41552078394183656,nan,nan,0.0
napierone,1,0,0.0,112,0.41552078394183656,nan,nan,0.0
napierone,1,0,0.0,120,0.41552078394183656,nan,nan,0.0
napierone,1,0,0.0,128,0.41552078394183656,nan,nan,0.0
napierone,1,0,0.0,136,0.41552078394183656,nan,nan,0.0
napierone,1,0,0.0,144,0.41552078394183656,nan,nan,0.0
napierone,1,0,0.0,152,0.41552078394183656,nan,nan,0.0
napierone,1,0,0.0,160,0.41552078394183656,nan,nan,0.0
napierone,1,0,0.0,168,0.41552078394183656,nan,nan,0.0
napierone,1,0,0.0,176,0.41552078394183656,nan,nan,0.0
napierone,1,0,0.0,184,0.41552078394183656,nan,nan,0.0
napierone,1,0,0.0,192,0.41552078394183656,nan,nan,0.0
napierone,1,0,0.0,200,0.41552078394183656,nan,nan,0.0
napierone,1,0,0.0,208,0.41552078394183656,nan,nan,0.0
napierone,1,0,0.0,216,0.41552078394183656,nan,nan,0.0
napierone,1,0,0.0,224,0.41552078394183656,nan,nan,0.0
napierone,1,0,0.0,232,0.41552078394183656,nan,nan,0.0
napierone,1,0,0.0,240,0.41552078394183656,nan,nan,0.0
napierone,1,0,0.0,248,0.41552078394183656,nan,nan,0.0
napierone,1,0,0.0,256,0.41552078394183656,nan,nan,0.0
napierone,1,0,1.0,8,0.5566619250829777,0.6559970566593083,0.6002019748653501,0.7232287723093564
napierone,1,0,1.0,16,0.6156946420104314,0.5683089214380825,0.8273455673300595,0.43280151433207137
napierone,1,0,1.0,24,0.6327643432906591,0.5488787496359577,0.9731497418244406,0.3822336398053002
napierone,1,0,1.0,32,0.6106369527422159,0.5045751633986929,0.9843075715967046,0.33923742563547865
napierone,1,0,1.0,40,0.5900110636952742,0.4619373573947314,0.9915405164737311,0.3011087074094105
napierone,1,0,1.0,48,0.572704283230599,0.42448110697179353,0.9974987493746873,0.26960519199567334
napierone,1,0,1.0,56,0.5653548285127232,0.40822035721971167,0.9994731296101159,0.25648999459167116
napierone,1,0,1.0,64,0.4167061798640746,0.004316740860650209,0.9411764705882353,0.002163331530557058
napierone,1,0,1.0,72,0.41575786312628416,0.0008109203946479254,1.0,0.00040562466197944835
napierone,1,0,1.0,80,0.41552078394183656,nan,nan,0.0
napierone,1,0,1.0,88,0.41552078394183656,nan,nan,0.0
napierone,1,0,1.0,96,0.41552078394183656,nan,nan,0.0
napierone,1,0,1.0,104,0.41552078394183656,nan,nan,0.0
napierone,1,0,1.0,112,0.41552078394183656,nan,nan,0.0
napierone,1,0,1.0,120,0.41552078394183656,nan,nan,0.0
napierone,1,0,1.0,128,0.41552078394183656,nan,nan,0.0
napierone,1,0,1.0,136,0.41552078394183656,nan,nan,0.0
napierone,1,0,1.0,144,0.41552078394183656,nan,nan,0.0
napierone,1,0,1.0,152,0.41552078394183656,nan,nan,0.0
napierone,1,0,1.0,160,0.41552078394183656,nan,nan,0.0
napierone,1,0,1.0,168,0.41552078394183656,nan,nan,0.0
napierone,1,0,1.0,176,0.41552078394183656,nan,nan,0.0
napierone,1,0,1.0,184,0.41552078394183656,nan,nan,0.0
napierone,1,0,1.0,192,0.41552078394183656,nan,nan,0.0
napierone,1,0,1.0,200,0.41552078394183656,nan,nan,0.0
napierone,1,0,1.0,208,0.41552078394183656,nan,nan,0.0
napierone,1,0,1.0,216,0.41552078394183656,nan,nan,0.0
napierone,1,0,1.0,224,0.41552078394183656,nan,nan,0.0
napierone,1,0,1.0,232,0.41552078394183656,nan,nan,0.0
napierone,1,0,1.0,240,0.41552078394183656,nan,nan,0.0
napierone,1,0,1.0,248,0.41552078394183656,nan,nan,0.0
napierone,1,0,1.0,256,0.41552078394183656,nan,nan,0.0
napierone,1,0,2.0,8,0.5297929508455824,0.6431142034548945,0.5779430789133247,0.7248512709572742
napierone,1,0,2.0,16,0.5908803540382488,0.5571807373193054,0.7583236321303841,0.4403731746890211
napierone,1,0,2.0,24,0.6446973289078552,0.58493353028065,0.9220023282887078,0.4283396430502975
napierone,1,0,2.0,32,0.6353722143195828,0.5522127329192547,0.9783356258596974,0.38466738777717685
napierone,1,0,2.0,40,0.6088983720562668,0.5008572869389812,0.9857086145295753,0.3357220118983234
napierone,1,0,2.0,48,0.5904061956693536,0.462623120787973,0.9919964428634949,0.30164954029204977
napierone,1,0,2.0,56,0.5739687055476529,0.42728141931371505,0.9970252850768468,0.2719037317468902
napierone,1,0,2.0,64,0.41947210368263,0.013694951664876475,0.9807692307692307,0.006895619253650622
napierone,1,0,2.0,72,0.4167852062588905,0.004585918532506069,0.9444444444444444,0.002298539751216874
