Data Type,Segments,Distance,Threshold,Segments Length,Accuracy,F1_Score,Precision,Recall
napierone,1,0,0.0,8,0.7398339665118897,nan,nan,0.0
napierone,1,0,0.0,16,0.7398339665118897,nan,nan,0.0
napierone,1,0,0.0,24,0.7398339665118897,nan,nan,0.0
napierone,1,0,0.0,32,0.7398339665118897,nan,nan,0.0
napierone,1,0,0.0,40,0.7398339665118897,nan,nan,0.0
napierone,1,0,0.0,48,0.7398339665118897,nan,nan,0.0
napierone,1,0,0.0,56,0.7398339665118897,nan,nan,0.0
napierone,1,0,0.0,64,0.7398339665118897,nan,nan,0.0
napierone,1,0,0.0,72,0.7398339665118897,nan,nan,0.0
napierone,1,0,0.0,80,0.7398339665118897,nan,nan,0.0
napierone,1,0,0.0,88,0.7398339665118897,nan,nan,0.0
napierone,1,0,0.0,96,0.7398339665118897,nan,nan,0.0
napierone,1,0,0.0,104,0.7398339665118897,nan,nan,0.0
napierone,1,0,0.0,112,0.7398339665118897,nan,nan,0.0
napierone,1,0,0.0,120,0.7398339665118897,nan,nan,0.0
napierone,1,0,0.0,128,0.7398339665118897,nan,nan,0.0
napierone,1,0,0.0,136,0.7398339665118897,nan,nan,0.0
napierone,1,0,0.0,144,0.7398339665118897,nan,nan,0.0
napierone,1,0,0.0,152,0.7398339665118897,nan,nan,0.0
napierone,1,0,0.0,160,0.7398339665118897,nan,nan,0.0
napierone,1,0,0.0,168,0.7398339665118897,nan,nan,0.0
napierone,1,0,0.0,176,0.7398339665118897,nan,nan,0.0
napierone,1,0,0.0,184,0.7398339665118897,nan,nan,0.0
napierone,1,0,0.0,192,0.7398339665118897,nan,nan,0.0
napierone,1,0,0.0,200,0.7398339665118897,nan,nan,0.0
napierone,1,0,0.0,208,0.7398339665118897,nan,nan,0.0
napierone,1,0,0.0,216,0.7398339665118897,nan,nan,0.0
napierone,1,0,0.0,224,0.7398339665118897,nan,nan,0.0
napierone,1,0,0.0,232,0.7398339665118897,nan,nan,0.0
napierone,1,0,0.0,240,0.7398339665118897,nan,nan,0.0
napierone,1,0,0.0,248,0.7398339665118897,nan,nan,0.0
napierone,1,0,0.0,256,0.7398339665118897,nan,nan,0.0
